"opt/step","C4H4-new-1-6.0-1-106192 - _step","C4H4-new-1-6.0-1-106192 - _step__MIN","C4H4-new-1-6.0-1-106192 - _step__MAX","C4H4-new-1-6.0-1-106192 - opt/E_smooth","C4H4-new-1-6.0-1-106192 - opt/E_smooth__MIN","C4H4-new-1-6.0-1-106192 - opt/E_smooth__MAX","C4H4-new-1-3.0-8-106026 - _step","C4H4-new-1-3.0-8-106026 - _step__MIN","C4H4-new-1-3.0-8-106026 - _step__MAX","C4H4-new-1-3.0-8-106026 - opt/E_smooth","C4H4-new-1-3.0-8-106026 - opt/E_smooth__MIN","C4H4-new-1-3.0-8-106026 - opt/E_smooth__MAX","C4H4-new-1-6.0-9-106026 - _step","C4H4-new-1-6.0-9-106026 - _step__MIN","C4H4-new-1-6.0-9-106026 - _step__MAX","C4H4-new-1-6.0-9-106026 - opt/E_smooth","C4H4-new-1-6.0-9-106026 - opt/E_smooth__MIN","C4H4-new-1-6.0-9-106026 - opt/E_smooth__MAX","C4H4-moon-2-5.0-3-104963 - _step","C4H4-moon-2-5.0-3-104963 - _step__MIN","C4H4-moon-2-5.0-3-104963 - _step__MAX","C4H4-moon-2-5.0-3-104963 - opt/E_smooth","C4H4-moon-2-5.0-3-104963 - opt/E_smooth__MIN","C4H4-moon-2-5.0-3-104963 - opt/E_smooth__MAX"
"41","1541","1541","1541","-148.12298965454102","-148.12298965454102","-148.12298965454102","1541","1541","1541","-149.8308448791504","-149.8308448791504","-149.8308448791504","1541","1541","1541","-149.86260986328125","-149.86260986328125","-149.86260986328125","1541","1541","1541","-151.76000595092773","-151.76000595092773","-151.76000595092773"
"42","1542","1542","1542","-148.13606643676758","-148.13606643676758","-148.13606643676758","1542","1542","1542","-149.75575637817383","-149.75575637817383","-149.75575637817383","1542","1542","1542","-149.86328887939453","-149.86328887939453","-149.86328887939453","1542","1542","1542","-151.7351531982422","-151.7351531982422","-151.7351531982422"
"43","1543","1543","1543","-148.13768768310547","-148.13768768310547","-148.13768768310547","1543","1543","1543","-149.69624710083008","-149.69624710083008","-149.69624710083008","1543","1543","1543","-149.8264274597168","-149.8264274597168","-149.8264274597168","1543","1543","1543","-151.70630264282227","-151.70630264282227","-151.70630264282227"
"44","1544","1544","1544","-148.2182388305664","-148.2182388305664","-148.2182388305664","1544","1544","1544","-149.60727310180664","-149.60727310180664","-149.60727310180664","1544","1544","1544","-149.81433486938477","-149.81433486938477","-149.81433486938477","1544","1544","1544","-151.7060317993164","-151.7060317993164","-151.7060317993164"
"45","1545","1545","1545","-148.3296775817871","-148.3296775817871","-148.3296775817871","1545","1545","1545","-149.62347793579102","-149.62347793579102","-149.62347793579102","1545","1545","1545","-149.9135856628418","-149.9135856628418","-149.9135856628418","1545","1545","1545","-151.7359161376953","-151.7359161376953","-151.7359161376953"
"46","1546","1546","1546","-148.38270950317383","-148.38270950317383","-148.38270950317383","1546","1546","1546","-149.63776779174805","-149.63776779174805","-149.63776779174805","1546","1546","1546","-149.85047912597656","-149.85047912597656","-149.85047912597656","1546","1546","1546","-151.7740020751953","-151.7740020751953","-151.7740020751953"
"47","1547","1547","1547","-148.4733657836914","-148.4733657836914","-148.4733657836914","1547","1547","1547","-149.68270111083984","-149.68270111083984","-149.68270111083984","1547","1547","1547","-149.8185806274414","-149.8185806274414","-149.8185806274414","1547","1547","1547","-151.81087493896484","-151.81087493896484","-151.81087493896484"
"48","1548","1548","1548","-148.5260467529297","-148.5260467529297","-148.5260467529297","1548","1548","1548","-149.7659568786621","-149.7659568786621","-149.7659568786621","1548","1548","1548","-149.77681350708008","-149.77681350708008","-149.77681350708008","1548","1548","1548","-151.85847854614258","-151.85847854614258","-151.85847854614258"
"49","1549","1549","1549","-148.51811599731445","-148.51811599731445","-148.51811599731445","1549","1549","1549","-149.82210540771484","-149.82210540771484","-149.82210540771484","1549","1549","1549","-149.80987167358398","-149.80987167358398","-149.80987167358398","1549","1549","1549","-151.90964889526367","-151.90964889526367","-151.90964889526367"
"50","1550","1550","1550","-148.4870574951172","-148.4870574951172","-148.4870574951172","1550","1550","1550","-149.8266387939453","-149.8266387939453","-149.8266387939453","1550","1550","1550","-149.8409454345703","-149.8409454345703","-149.8409454345703","1550","1550","1550","-151.9191864013672","-151.9191864013672","-151.9191864013672"
"51","1551","1551","1551","-148.46031799316407","-148.46031799316407","-148.46031799316407","1551","1551","1551","-149.88773498535156","-149.88773498535156","-149.88773498535156","1551","1551","1551","-149.87846984863282","-149.87846984863282","-149.87846984863282","1551","1551","1551","-151.93873596191406","-151.93873596191406","-151.93873596191406"
"52","1552","1552","1552","-148.41457824707032","-148.41457824707032","-148.41457824707032","1552","1552","1552","-149.9851318359375","-149.9851318359375","-149.9851318359375","1552","1552","1552","-149.77520446777345","-149.77520446777345","-149.77520446777345","1552","1552","1552","-151.93043518066406","-151.93043518066406","-151.93043518066406"
"53","1553","1553","1553","-148.41553344726563","-148.41553344726563","-148.41553344726563","1553","1553","1553","-150.06716918945312","-150.06716918945312","-150.06716918945312","1553","1553","1553","-149.7717712402344","-149.7717712402344","-149.7717712402344","1553","1553","1553","-151.9581268310547","-151.9581268310547","-151.9581268310547"
"54","1554","1554","1554","-148.39421997070312","-148.39421997070312","-148.39421997070312","1554","1554","1554","-150.14657287597657","-150.14657287597657","-150.14657287597657","1554","1554","1554","-149.6926727294922","-149.6926727294922","-149.6926727294922","1554","1554","1554","-151.97930297851562","-151.97930297851562","-151.97930297851562"
"55","1555","1555","1555","-148.43902282714845","-148.43902282714845","-148.43902282714845","1555","1555","1555","-150.24871215820312","-150.24871215820312","-150.24871215820312","1555","1555","1555","-149.5909210205078","-149.5909210205078","-149.5909210205078","1555","1555","1555","-152.01857299804686","-152.01857299804686","-152.01857299804686"
"56","1556","1556","1556","-148.46930541992188","-148.46930541992188","-148.46930541992188","1556","1556","1556","-150.2989532470703","-150.2989532470703","-150.2989532470703","1556","1556","1556","-149.47807922363282","-149.47807922363282","-149.47807922363282","1556","1556","1556","-152.04991760253907","-152.04991760253907","-152.04991760253907"
"57","1557","1557","1557","-148.50698852539062","-148.50698852539062","-148.50698852539062","1557","1557","1557","-150.30093078613282","-150.30093078613282","-150.30093078613282","1557","1557","1557","-149.55660705566407","-149.55660705566407","-149.55660705566407","1557","1557","1557","-152.07571411132812","-152.07571411132812","-152.07571411132812"
"58","1558","1558","1558","-148.54949951171875","-148.54949951171875","-148.54949951171875","1558","1558","1558","-150.32510986328126","-150.32510986328126","-150.32510986328126","1558","1558","1558","-149.58020935058593","-149.58020935058593","-149.58020935058593","1558","1558","1558","-152.08238830566407","-152.08238830566407","-152.08238830566407"
"59","1559","1559","1559","-148.57540283203124","-148.57540283203124","-148.57540283203124","1559","1559","1559","-150.36597290039063","-150.36597290039063","-150.36597290039063","1559","1559","1559","-149.53173217773437","-149.53173217773437","-149.53173217773437","1559","1559","1559","-152.0743621826172","-152.0743621826172","-152.0743621826172"
"60","1560","1560","1560","-148.53794860839844","-148.53794860839844","-148.53794860839844","1560","1560","1560","-150.4107208251953","-150.4107208251953","-150.4107208251953","1560","1560","1560","-149.5377629597982","-149.5377629597982","-149.5377629597982","1560","1560","1560","-152.03830210367838","-152.03830210367838","-152.03830210367838"
"61","1561","1561","1561","-148.5398915608724","-148.5398915608724","-148.5398915608724","1561","1561","1561","-150.43382771809897","-150.43382771809897","-150.43382771809897","1561","1561","1561","-149.58319091796875","-149.58319091796875","-149.58319091796875","1561","1561","1561","-152.0208536783854","-152.0208536783854","-152.0208536783854"
"62","1562","1562","1562","-148.58838399251303","-148.58838399251303","-148.58838399251303","1562","1562","1562","-150.46581268310547","-150.46581268310547","-150.46581268310547","1562","1562","1562","-149.65345255533853","-149.65345255533853","-149.65345255533853","1562","1562","1562","-151.98358662923178","-151.98358662923178","-151.98358662923178"
"63","1563","1563","1563","-148.60975646972656","-148.60975646972656","-148.60975646972656","1563","1563","1563","-150.52462259928384","-150.52462259928384","-150.52462259928384","1563","1563","1563","-149.705935160319","-149.705935160319","-149.705935160319","1563","1563","1563","-151.99080657958984","-151.99080657958984","-151.99080657958984"
"64","1564","1564","1564","-148.61729685465494","-148.61729685465494","-148.61729685465494","1564","1564","1564","-150.57656860351562","-150.57656860351562","-150.57656860351562","1564","1564","1564","-149.76907602945963","-149.76907602945963","-149.76907602945963","1564","1564","1564","-152.01538594563803","-152.01538594563803","-152.01538594563803"
"65","1565","1565","1565","-148.6381861368815","-148.6381861368815","-148.6381861368815","1565","1565","1565","-150.6174519856771","-150.6174519856771","-150.6174519856771","1565","1565","1565","-149.76925404866537","-149.76925404866537","-149.76925404866537","1565","1565","1565","-152.01123555501303","-152.01123555501303","-152.01123555501303"
"66","1566","1566","1566","-148.7358830769857","-148.7358830769857","-148.7358830769857","1566","1566","1566","-150.65166219075522","-150.65166219075522","-150.65166219075522","1566","1566","1566","-149.78838094075522","-149.78838094075522","-149.78838094075522","1566","1566","1566","-152.01580047607422","-152.01580047607422","-152.01580047607422"
"67","1567","1567","1567","-148.7923838297526","-148.7923838297526","-148.7923838297526","1567","1567","1567","-150.7101796468099","-150.7101796468099","-150.7101796468099","1567","1567","1567","-149.84095764160156","-149.84095764160156","-149.84095764160156","1567","1567","1567","-152.0068613688151","-152.0068613688151","-152.0068613688151"
