"opt/step","C4H4-new-1-3.0-1-104613 - _step","C4H4-new-1-3.0-1-104613 - _step__MIN","C4H4-new-1-3.0-1-104613 - _step__MAX","C4H4-new-1-3.0-1-104613 - opt/E_smooth","C4H4-new-1-3.0-1-104613 - opt/E_smooth__MIN","C4H4-new-1-3.0-1-104613 - opt/E_smooth__MAX","C4H4-new-1-9.0-3-104613 - _step","C4H4-new-1-9.0-3-104613 - _step__MIN","C4H4-new-1-9.0-3-104613 - _step__MAX","C4H4-new-1-9.0-3-104613 - opt/E_smooth","C4H4-new-1-9.0-3-104613 - opt/E_smooth__MIN","C4H4-new-1-9.0-3-104613 - opt/E_smooth__MAX","C4H4-new-1-6.0-2-104613 - _step","C4H4-new-1-6.0-2-104613 - _step__MIN","C4H4-new-1-6.0-2-104613 - _step__MAX","C4H4-new-1-6.0-2-104613 - opt/E_smooth","C4H4-new-1-6.0-2-104613 - opt/E_smooth__MIN","C4H4-new-1-6.0-2-104613 - opt/E_smooth__MAX"
"55","1555","1555","1555","-150.21695556640626","-150.21695556640626","-150.21695556640626","1555","1555","1555","-150.34215087890624","-150.34215087890624","-150.34215087890624","1555","1555","1555","-149.4873046875","-149.4873046875","-149.4873046875"
"56","1556","1556","1556","-150.2667266845703","-150.2667266845703","-150.2667266845703","1556","1556","1556","-150.34462280273436","-150.34462280273436","-150.34462280273436","1556","1556","1556","-149.49510192871094","-149.49510192871094","-149.49510192871094"
"57","1557","1557","1557","-150.30380554199218","-150.30380554199218","-150.30380554199218","1557","1557","1557","-150.3717041015625","-150.3717041015625","-150.3717041015625","1557","1557","1557","-149.5446533203125","-149.5446533203125","-149.5446533203125"
"58","1558","1558","1558","-150.34307556152345","-150.34307556152345","-150.34307556152345","1558","1558","1558","-150.37493286132812","-150.37493286132812","-150.37493286132812","1558","1558","1558","-149.5920196533203","-149.5920196533203","-149.5920196533203"
"59","1559","1559","1559","-150.3732940673828","-150.3732940673828","-150.3732940673828","1559","1559","1559","-150.39742431640624","-150.39742431640624","-150.39742431640624","1559","1559","1559","-149.6263671875","-149.6263671875","-149.6263671875"
"60","1560","1560","1560","-150.3891169230143","-150.3891169230143","-150.3891169230143","1560","1560","1560","-150.41669464111328","-150.41669464111328","-150.41669464111328","1560","1560","1560","-149.62811533610025","-149.62811533610025","-149.62811533610025"
"61","1561","1561","1561","-150.41559855143228","-150.41559855143228","-150.41559855143228","1561","1561","1561","-150.43395233154297","-150.43395233154297","-150.43395233154297","1561","1561","1561","-149.65306345621744","-149.65306345621744","-149.65306345621744"
"62","1562","1562","1562","-150.4529012044271","-150.4529012044271","-150.4529012044271","1562","1562","1562","-150.3956044514974","-150.3956044514974","-150.3956044514974","1562","1562","1562","-149.69410959879556","-149.69410959879556","-149.69410959879556"
"63","1563","1563","1563","-150.49915059407553","-150.49915059407553","-150.49915059407553","1563","1563","1563","-150.3743896484375","-150.3743896484375","-150.3743896484375","1563","1563","1563","-149.68354288736978","-149.68354288736978","-149.68354288736978"
"64","1564","1564","1564","-150.5439885457357","-150.5439885457357","-150.5439885457357","1564","1564","1564","-150.38369750976562","-150.38369750976562","-150.38369750976562","1564","1564","1564","-149.67717742919922","-149.67717742919922","-149.67717742919922"
"65","1565","1565","1565","-150.60055287679037","-150.60055287679037","-150.60055287679037","1565","1565","1565","-150.40768686930338","-150.40768686930338","-150.40768686930338","1565","1565","1565","-149.67554982503256","-149.67554982503256","-149.67554982503256"
"66","1566","1566","1566","-150.6526845296224","-150.6526845296224","-150.6526845296224","1566","1566","1566","-150.38026173909506","-150.38026173909506","-150.38026173909506","1566","1566","1566","-149.68929799397787","-149.68929799397787","-149.68929799397787"
"67","1567","1567","1567","-150.70659637451172","-150.70659637451172","-150.70659637451172","1567","1567","1567","-150.36468760172525","-150.36468760172525","-150.36468760172525","1567","1567","1567","-149.7152099609375","-149.7152099609375","-149.7152099609375"
"68","1568","1568","1568","-150.76409403483072","-150.76409403483072","-150.76409403483072","1568","1568","1568","-150.3754399617513","-150.3754399617513","-150.3754399617513","1568","1568","1568","-149.74113972981772","-149.74113972981772","-149.74113972981772"
"69","1569","1569","1569","-150.82479858398438","-150.82479858398438","-150.82479858398438","1569","1569","1569","-150.35652923583984","-150.35652923583984","-150.35652923583984","1569","1569","1569","-149.772580464681","-149.772580464681","-149.772580464681"
"70","1570","1570","1570","-150.84344046456474","-150.84344046456474","-150.84344046456474","1570","1570","1570","-150.3866729736328","-150.3866729736328","-150.3866729736328","1570","1570","1570","-149.76646641322546","-149.76646641322546","-149.76646641322546"
"71","1571","1571","1571","-150.90056719098772","-150.90056719098772","-150.90056719098772","1571","1571","1571","-150.40954807826452","-150.40954807826452","-150.40954807826452","1571","1571","1571","-149.77326093401228","-149.77326093401228","-149.77326093401228"
"72","1572","1572","1572","-150.93487548828125","-150.93487548828125","-150.93487548828125","1572","1572","1572","-150.40117972237724","-150.40117972237724","-150.40117972237724","1572","1572","1572","-149.78688049316406","-149.78688049316406","-149.78688049316406"
"73","1573","1573","1573","-150.98661150251115","-150.98661150251115","-150.98661150251115","1573","1573","1573","-150.4276166643415","-150.4276166643415","-150.4276166643415","1573","1573","1573","-149.8117196219308","-149.8117196219308","-149.8117196219308"
"74","1574","1574","1574","-151.03538295200892","-151.03538295200892","-151.03538295200892","1574","1574","1574","-150.46846226283483","-150.46846226283483","-150.46846226283483","1574","1574","1574","-149.8459254673549","-149.8459254673549","-149.8459254673549"
"75","1575","1575","1575","-151.06141444614954","-151.06141444614954","-151.06141444614954","1575","1575","1575","-150.48550633021765","-150.48550633021765","-150.48550633021765","1575","1575","1575","-149.83975655691964","-149.83975655691964","-149.83975655691964"
"76","1576","1576","1576","-151.08343941824776","-151.08343941824776","-151.08343941824776","1576","1576","1576","-150.55051749093192","-150.55051749093192","-150.55051749093192","1576","1576","1576","-149.8518327985491","-149.8518327985491","-149.8518327985491"
"77","1577","1577","1577","-151.11868722098214","-151.11868722098214","-151.11868722098214","1577","1577","1577","-150.5688214983259","-150.5688214983259","-150.5688214983259","1577","1577","1577","-149.88065229143416","-149.88065229143416","-149.88065229143416"
"78","1578","1578","1578","-151.13509477887834","-151.13509477887834","-151.13509477887834","1578","1578","1578","-150.6061793736049","-150.6061793736049","-150.6061793736049","1578","1578","1578","-149.8840571812221","-149.8840571812221","-149.8840571812221"
"79","1579","1579","1579","-151.18429129464286","-151.18429129464286","-151.18429129464286","1579","1579","1579","-150.64053998674666","-150.64053998674666","-150.64053998674666","1579","1579","1579","-149.9047088623047","-149.9047088623047","-149.9047088623047"
"80","1580","1580","1580","-151.19854736328125","-151.19854736328125","-151.19854736328125","1580","1580","1580","-150.64734268188477","-150.64734268188477","-150.64734268188477","1580","1580","1580","-149.89860725402832","-149.89860725402832","-149.89860725402832"
"81","1581","1581","1581","-151.22359466552734","-151.22359466552734","-151.22359466552734","1581","1581","1581","-150.68656730651855","-150.68656730651855","-150.68656730651855","1581","1581","1581","-149.9064769744873","-149.9064769744873","-149.9064769744873"
"82","1582","1582","1582","-151.2492504119873","-151.2492504119873","-151.2492504119873","1582","1582","1582","-150.73888778686523","-150.73888778686523","-150.73888778686523","1582","1582","1582","-149.9008502960205","-149.9008502960205","-149.9008502960205"
"83","1583","1583","1583","-151.29015350341797","-151.29015350341797","-151.29015350341797","1583","1583","1583","-150.81608390808105","-150.81608390808105","-150.81608390808105","1583","1583","1583","-149.92421340942383","-149.92421340942383","-149.92421340942383"
"84","1584","1584","1584","-151.3142967224121","-151.3142967224121","-151.3142967224121","1584","1584","1584","-150.84248542785645","-150.84248542785645","-150.84248542785645","1584","1584","1584","-149.94242668151855","-149.94242668151855","-149.94242668151855"
"85","1585","1585","1585","-151.33938598632812","-151.33938598632812","-151.33938598632812","1585","1585","1585","-150.90099716186523","-150.90099716186523","-150.90099716186523","1585","1585","1585","-149.9554786682129","-149.9554786682129","-149.9554786682129"
"86","1586","1586","1586","-151.37981986999512","-151.37981986999512","-151.37981986999512","1586","1586","1586","-150.92351150512695","-150.92351150512695","-150.92351150512695","1586","1586","1586","-149.97301864624023","-149.97301864624023","-149.97301864624023"
"87","1587","1587","1587","-151.40800666809082","-151.40800666809082","-151.40800666809082","1587","1587","1587","-150.97369384765625","-150.97369384765625","-150.97369384765625","1587","1587","1587","-149.98334121704102","-149.98334121704102","-149.98334121704102"
"88","1588","1588","1588","-151.45049285888672","-151.45049285888672","-151.45049285888672","1588","1588","1588","-151.02258110046387","-151.02258110046387","-151.02258110046387","1588","1588","1588","-150.0445098876953","-150.0445098876953","-150.0445098876953"
"89","1589","1589","1589","-151.4784755706787","-151.4784755706787","-151.4784755706787","1589","1589","1589","-151.0489273071289","-151.0489273071289","-151.0489273071289","1589","1589","1589","-150.10455322265625","-150.10455322265625","-150.10455322265625"
"90","1590","1590","1590","-151.4872114393446","-151.4872114393446","-151.4872114393446","1590","1590","1590","-151.05889383951822","-151.05889383951822","-151.05889383951822","1590","1590","1590","-150.16786363389758","-150.16786363389758","-150.16786363389758"
"91","1591","1591","1591","-151.51477220323352","-151.51477220323352","-151.51477220323352","1591","1591","1591","-151.09815809461804","-151.09815809461804","-151.09815809461804","1591","1591","1591","-150.24759080674914","-150.24759080674914","-150.24759080674914"
"92","1592","1592","1592","-151.54478285047742","-151.54478285047742","-151.54478285047742","1592","1592","1592","-151.12618509928384","-151.12618509928384","-151.12618509928384","1592","1592","1592","-150.3236558702257","-150.3236558702257","-150.3236558702257"
"93","1593","1593","1593","-151.58465745713977","-151.58465745713977","-151.58465745713977","1593","1593","1593","-151.16292487250433","-151.16292487250433","-151.16292487250433","1593","1593","1593","-150.3790774875217","-150.3790774875217","-150.3790774875217"
"94","1594","1594","1594","-151.62959628634982","-151.62959628634982","-151.62959628634982","1594","1594","1594","-151.18704901801215","-151.18704901801215","-151.18704901801215","1594","1594","1594","-150.4583265516493","-150.4583265516493","-150.4583265516493"
"95","1595","1595","1595","-151.6544664171007","-151.6544664171007","-151.6544664171007","1595","1595","1595","-151.21488444010416","-151.21488444010416","-151.21488444010416","1595","1595","1595","-150.5492638481988","-150.5492638481988","-150.5492638481988"
"96","1596","1596","1596","-151.69247436523438","-151.69247436523438","-151.69247436523438","1596","1596","1596","-151.23302035861545","-151.23302035861545","-151.23302035861545","1596","1596","1596","-150.63225809733072","-150.63225809733072","-150.63225809733072"
"97","1597","1597","1597","-151.73726230197482","-151.73726230197482","-151.73726230197482","1597","1597","1597","-151.22916497124567","-151.22916497124567","-151.22916497124567","1597","1597","1597","-150.67162238226996","-150.67162238226996","-150.67162238226996"
"98","1598","1598","1598","-151.7623291015625","-151.7623291015625","-151.7623291015625","1598","1598","1598","-151.23185560438367","-151.23185560438367","-151.23185560438367","1598","1598","1598","-150.69161648220486","-150.69161648220486","-150.69161648220486"
"99","1599","1599","1599","-151.78939310709634","-151.78939310709634","-151.78939310709634","1599","1599","1599","-151.21290588378906","-151.21290588378906","-151.21290588378906","1599","1599","1599","-150.69505818684897","-150.69505818684897","-150.69505818684897"
"100","1600","1600","1600","-151.80631561279296","-151.80631561279296","-151.80631561279296","1600","1600","1600","-151.19779205322266","-151.19779205322266","-151.19779205322266","1600","1600","1600","-150.6956359863281","-150.6956359863281","-150.6956359863281"
"101","1601","1601","1601","-151.8480972290039","-151.8480972290039","-151.8480972290039","1601","1601","1601","-151.1900665283203","-151.1900665283203","-151.1900665283203","1601","1601","1601","-150.68438262939452","-150.68438262939452","-150.68438262939452"
"102","1602","1602","1602","-151.87660064697266","-151.87660064697266","-151.87660064697266","1602","1602","1602","-151.17212677001953","-151.17212677001953","-151.17212677001953","1602","1602","1602","-150.6761459350586","-150.6761459350586","-150.6761459350586"
"103","1603","1603","1603","-151.9063293457031","-151.9063293457031","-151.9063293457031","1603","1603","1603","-151.14502868652343","-151.14502868652343","-151.14502868652343","1603","1603","1603","-150.6967514038086","-150.6967514038086","-150.6967514038086"
"104","1604","1604","1604","-151.93116760253906","-151.93116760253906","-151.93116760253906","1604","1604","1604","-151.1008560180664","-151.1008560180664","-151.1008560180664","1604","1604","1604","-150.69556427001953","-150.69556427001953","-150.69556427001953"
"105","1605","1605","1605","-151.9717590332031","-151.9717590332031","-151.9717590332031","1605","1605","1605","-151.1054244995117","-151.1054244995117","-151.1054244995117","1605","1605","1605","-150.67769317626954","-150.67769317626954","-150.67769317626954"
"106","1606","1606","1606","-151.98998107910157","-151.98998107910157","-151.98998107910157","1606","1606","1606","-151.09581604003907","-151.09581604003907","-151.09581604003907","1606","1606","1606","-150.68109893798828","-150.68109893798828","-150.68109893798828"
