Molecule,16det,16det,1det,1det,baseline,baseline,nojastrow
State,singlet,triplet,singlet,triplet,singlet,triplet,singlet
opt/step,,,,,,,
33,-57.05701446533203,-57.11099624633789,-55.2093505859375,-55.11554718017578,-56.67359161376953,-55.53811264038086,-55.7229118347168
34,-57.31791687011719,-57.33262634277344,-55.523895263671875,-55.31742858886719,-56.950260162353516,-55.77549743652344,-55.62739562988281
35,-57.255043029785156,-57.34648132324219,-55.553993225097656,-55.49269104003906,-56.93489074707031,-55.86701202392578,-55.94720458984375
36,-57.29247283935547,-57.4285774230957,-55.85626220703125,-55.67033004760742,-56.869544982910156,-55.80900192260742,-55.942832946777344
37,-57.26844024658203,-57.44038391113281,-55.9403076171875,-55.957149505615234,-57.22335433959961,-56.13694381713867,-56.31333923339844
38,-57.6131706237793,-57.3375358581543,-55.97393035888672,-55.76063919067383,-57.212921142578125,-56.35960388183594,-56.31363296508789
39,-57.73136520385742,-57.30907440185547,-56.113895416259766,-55.849830627441406,-57.3671760559082,-56.52778625488281,-56.19526290893555
40,-57.760223388671875,-57.579322814941406,-56.31316375732422,-55.94263458251953,-57.4144401550293,-56.59320068359375,-56.67557144165039
41,-57.78606033325195,-57.712303161621094,-56.411766052246094,-55.993003845214844,-57.54132843017578,-56.52220153808594,-56.55546951293945
42,-57.91633605957031,-57.67230987548828,-56.54545593261719,-56.46031951904297,-57.73842239379883,-56.58969497680664,-56.80418395996094
43,-57.75602722167969,-57.43608856201172,-56.66706848144531,-56.37904357910156,-57.977210998535156,-56.826171875,-56.99412155151367
44,-58.13928985595703,-57.86088180541992,-56.579185485839844,-56.5450325012207,-57.89701461791992,-56.68387985229492,-57.02264404296875
45,-57.77341842651367,-57.637123107910156,-56.720733642578125,-55.20421600341797,-57.83144760131836,-57.04277801513672,-56.83456802368164
46,-57.98616027832031,-58.09364318847656,-56.72980499267578,-56.500709533691406,-58.07082748413086,-57.056095123291016,-57.11637878417969
47,-57.90467834472656,-57.89459991455078,-56.717979431152344,-56.60432815551758,-58.002052307128906,-57.3040771484375,-57.286773681640625
48,-58.081764221191406,-57.82268524169922,-56.776126861572266,-56.660003662109375,-57.86834716796875,-57.00749206542969,-57.16350173950195
49,-58.27973175048828,-57.924888610839844,-57.13249969482422,-56.74558639526367,-58.042991638183594,-57.26307678222656,-57.53154754638672
50,-58.05375671386719,-58.016021728515625,-57.151023864746094,-56.90562438964844,-58.14385986328125,-57.249629974365234,-57.44696044921875
51,-58.3895149230957,-58.20130157470703,-57.3191032409668,-57.04375457763672,-58.165870666503906,-57.34389877319336,-57.571678161621094
52,-58.32337951660156,-57.983642578125,-57.2848014831543,-57.10289001464844,-58.30881118774414,-57.46596908569336,-57.69870376586914
53,-58.31324768066406,-58.06498718261719,-57.35565185546875,-57.31663513183594,-58.19526290893555,-57.481727600097656,-57.658172607421875
54,-58.29572677612305,-58.27791213989258,-57.39202117919922,-57.28683853149414,-58.49208068847656,-57.47319030761719,-57.58381652832031
55,-58.45298767089844,-58.31663513183594,-57.56077575683594,-57.23024368286133,-58.39407730102539,-57.55831527709961,-57.65618896484375
56,-58.4487419128418,-58.21953582763672,-57.778587341308594,-57.27528381347656,-58.5301628112793,-57.5423469543457,-57.945064544677734
57,-58.49456024169922,-58.41077423095703,-57.913665771484375,-57.515968322753906,-58.35177230834961,-57.755088806152344,-57.93663787841797
58,-58.65732192993164,-58.34811782836914,-57.91155242919922,-57.49384307861328,-58.359657287597656,-57.71851348876953,-58.16846466064453
59,-58.61339569091797,-58.361053466796875,-58.03363800048828,-57.628597259521484,-58.17771911621094,-57.77183151245117,-57.01622772216797
60,-58.80864334106445,-58.28300094604492,-58.00811004638672,-57.71381378173828,-58.545921325683594,-57.83941650390625,-58.12837219238281
61,-58.48207092285156,-58.298316955566406,-58.14470672607422,-57.816123962402344,-58.620384216308594,-57.91732406616211,-58.031211853027344
62,-58.70810317993164,-58.35270309448242,-58.095367431640625,-57.9201545715332,-58.74508285522461,-58.395606994628906,-58.22705841064453
63,-58.93896484375,-58.45733642578125,-58.01146697998047,-57.75495910644531,-58.66368103027344,-58.19415283203125,-58.138832092285156
64,-58.89801788330078,-58.50504684448242,-58.22359085083008,-57.90142059326172,-58.605167388916016,-58.36912536621094,-58.209800720214844
65,-58.92552185058594,-58.579769134521484,-58.230690002441406,-57.901676177978516,-58.83584213256836,-58.04667663574219,-58.28496170043945
66,-58.80950164794922,-58.550228118896484,-58.12010955810547,-57.816078186035156,-58.80634689331055,-58.083946228027344,-58.417667388916016
67,-58.898746490478516,-58.738014221191406,-58.419761657714844,-57.90907287597656,-58.835838317871094,-58.361602783203125,-58.47526550292969
68,-58.851078033447266,-58.6321907043457,-58.39657974243164,-57.944488525390625,-58.914302825927734,-58.422855377197266,-58.333900451660156
69,-58.75589370727539,-58.7618408203125,-58.37541580200195,-57.972354888916016,-58.91687774658203,-58.28702926635742,-58.382598876953125
70,-58.88801574707031,-58.740013122558594,-58.41107177734375,-57.93397903442383,-58.94166564941406,-58.38002014160156,-58.056095123291016
71,-59.04502487182617,-58.7674446105957,-58.354042053222656,-58.21689987182617,-58.85690689086914,-58.71486282348633,-58.5026969909668
72,-58.97268295288086,-58.76557540893555,-58.48982238769531,-58.204246520996094,-58.97737121582031,-58.4470100402832,-58.71207046508789
73,-59.13808822631836,-58.81270980834961,-58.4511833190918,-58.209571838378906,-58.9087028503418,-58.36214828491211,-58.76439666748047
74,-59.188018798828125,-58.90579605102539,-58.466880798339844,-58.37006378173828,-59.3115234375,-58.580501556396484,-58.65498352050781
75,-59.18134689331055,-59.062259674072266,-58.616729736328125,-58.37861633300781,-59.140777587890625,-58.73858642578125,-58.88144302368164
76,-59.07244873046875,-59.094242095947266,-58.685935974121094,-58.40626907348633,-59.05235290527344,-58.972782135009766,-58.809600830078125
77,-59.12342834472656,-59.019073486328125,-58.7663459777832,-58.349037170410156,-59.16644287109375,-58.70201110839844,-58.970458984375
78,-59.10149383544922,-58.977928161621094,-58.57231903076172,-58.174747467041016,-59.127601623535156,-58.80311965942383,-58.76909637451172
79,-59.25233459472656,-59.15533447265625,-58.851417541503906,-58.28290557861328,-59.220645904541016,-58.815589904785156,-58.92806625366211
80,-59.2485237121582,-59.14799880981445,-58.8046760559082,-58.5244026184082,-59.393394470214844,-58.87931823730469,-59.078834533691406
81,-59.17123031616211,-59.286094665527344,-58.9389762878418,-58.4206428527832,-59.34122085571289,-58.79816818237305,-58.86100387573242
82,-59.42232894897461,-59.26911926269531,-58.84703826904297,-58.588111877441406,-59.23018264770508,-58.8673210144043,-58.95301818847656
83,-59.25048828125,-59.245792388916016,-58.87792205810547,-58.70402526855469,-59.46966552734375,-58.5556755065918,-59.11482238769531
84,-59.21006774902344,-58.98540496826172,-59.003936767578125,-58.61676788330078,-59.56488800048828,-58.9053840637207,-59.10747528076172
85,-59.311073303222656,-59.022682189941406,-59.08525848388672,-58.72804260253906,-59.59944534301758,-58.93159103393555,-59.026214599609375
86,-59.41346740722656,-59.012725830078125,-59.18838882446289,-58.79899978637695,-59.58565902709961,-59.028385162353516,-59.12828063964844
