n_carbon,cutoff,batch_size,opt_batch_size,burnin/t_step,opt/t_step,model
29,5.0,256,8,1.202903550118208,2.686447236686945,FiRE
29,5.0,512,4,2.14704068005085,5.6887676157057285,FiRE
29,5.0,512,8,2.191463455557823,5.128397863358259,FiRE
29,5.0,1024,4,4.083995059132576,11.253265023231506,FiRE
29,5.0,1024,8,4.061766341328621,10.054225873202085,FiRE
29,7.0,128,4,0.8073573969304562,1.9492379613220692,FiRE
29,7.0,128,8,0.8066984564065933,1.6479955241084099,FiRE
29,7.0,256,4,1.4757304415106773,3.736223243176937,FiRE
29,7.0,256,8,1.3884294927120209,3.1979740262031555,FiRE
29,7.0,512,4,2.457424011081457,6.771074824035168,FiRE
29,7.0,512,8,2.459285795688629,6.342219866812229,FiRE
29,7.0,1024,4,5.16248070821166,14.273578085005283,FiRE
29,7.0,1024,8,5.1494868621230125,12.860627260059118,FiRE
32,3.0,32,8,0.40529587119817734,0.5742361024022102,FiRE
32,3.0,32,16,0.40923966094851494,0.5456065610051155,FiRE
32,3.0,32,32,0.40247926488518715,0.5465256385505199,FiRE
32,3.0,64,8,0.49254704266786575,0.8116251192986965,FiRE
32,3.0,64,16,0.49863560125231743,0.7774506397545338,FiRE
32,3.0,64,32,0.5535738319158554,0.8201007209718227,FiRE
32,3.0,64,64,0.4974377490580082,0.7444927468895912,FiRE
32,3.0,128,8,0.7718519568443298,1.3888392262160778,FiRE
32,3.0,128,16,0.8117745034396648,1.3696874976158142,FiRE
32,3.0,128,32,0.7725720889866352,1.291750729084015,FiRE
32,3.0,128,64,0.7739838026463985,1.2505558617413044,FiRE
32,3.0,256,8,1.3805475756525993,2.623385675251484,FiRE
32,3.0,256,16,1.2878914289176464,2.4014681950211525,FiRE
32,3.0,256,32,1.2831061631441116,2.3141290843486786,FiRE
32,3.0,256,64,1.281487237662077,2.246178016066551,FiRE
32,3.0,512,8,2.301302883774042,4.774866111576557,FiRE
32,3.0,512,16,2.4744730852544308,4.670821625739336,FiRE
32,3.0,512,32,2.492728441953659,4.569930344820023,FiRE
32,3.0,512,64,2.483348347246647,4.438409931957722,FiRE
32,3.0,1024,8,4.728430397808552,9.78908197581768,FiRE
32,3.0,1024,16,4.712494004517794,9.403386566787958,FiRE
32,3.0,1024,32,4.331789541989565,8.510672822594643,FiRE
32,3.0,1024,64,4.340327747166157,8.286547385156155,FiRE
32,4.0,128,4,0.8574240580201149,1.7379191927611828,FiRE
32,4.0,128,8,0.8680889047682285,1.5919312164187431,FiRE
32,4.0,128,16,0.8360913544893265,1.4837719351053238,FiRE
32,4.0,128,32,0.8557385168969631,1.4624648243188858,FiRE
32,4.0,128,64,0.8570123091340065,1.433680396527052,FiRE
32,4.0,256,4,1.4621022306382656,3.207129329442978,FiRE
32,4.0,256,8,1.4686874374747276,2.903973698616028,FiRE
32,4.0,256,16,1.4594806879758835,2.742831762880087,FiRE
32,4.0,256,32,1.4754044860601425,2.686832595616579,FiRE
32,4.0,256,64,1.465301003307104,2.586749266833067,FiRE
32,4.0,512,4,2.6656549759209156,6.182530462741852,FiRE
32,4.0,512,8,2.666166089475155,5.548918288201094,FiRE
32,4.0,512,16,2.685970764607191,5.231028072535992,FiRE
32,4.0,512,32,2.665446024388075,5.096848096698523,FiRE
