model,operation,system_size,batch_size,t
lapnet,wf_full,49,1024,0.15224105840316043
ferminet,wf_full,58,1024,0.19979772944934665
lapnet,wf_full,53,1024,0.17253074335167184
ferminet,wf_full,63,1024,0.22912558680400252
lapnet,wf_full,58,1024,0.2045066891470924
lapnet,wf_full,63,1024,0.2327389984508045
ferminet,wf_full,68,1024,0.2897361618583091
lapnet,wf_full,68,1024,0.3005293319001794
ferminet,wf_full,74,1024,0.3468030105927028
lapnet,wf_full,74,1024,0.3505713431048207
ferminet,wf_full,81,1024,0.41355472650611774
lapnet,wf_full,81,1024,0.40729222729569303
ferminet,wf_full,88,1024,0.4955310933990404
lapnet,wf_full,88,1024,0.47757026290055365
ferminet,wf_full,96,1024,0.6356993477558717
lapnet,wf_full,96,1024,0.6271089741028846
ferminet,wf_full,99,512,0.3339285816065967
ferminet,wf_full,105,512,0.3809408848057501
lapnet,wf_full,99,1024,0.6596268130466342
ferminet,wf_full,114,512,0.4580295593012124
lapnet,wf_full,105,1024,0.7391678977524861
ferminet,wf_full,124,512,0.5383954941527918
ferminet,E_kin,16,128,0.42852639709599316
ferminet,E_kin,17,128,0.48888488998636603
ferminet,E_kin,19,64,0.6290056700818241
ferminet,E_kin,21,64,0.8423543102107942
ferminet,E_kin,23,32,0.2512058839201927
ferminet,E_kin,24,32,0.29978925292380154
ferminet,E_kin,25,32,0.32817301200702786
ferminet,E_kin,27,32,0.882582567865029
ferminet,E_kin,29,16,0.23772454378195107
ferminet,E_kin,32,16,0.31429958809167147
lapnet,wf_full,114,1024,0.8730257712537423
ferminet,E_kin,34,16,0.3680825198534876
ferminet,E_kin,38,8,0.24530560988932848
ferminet,E_kin,41,8,0.3045041309669614
ferminet,E_kin,45,8,0.3828651749063283
ferminet,E_kin,49,4,0.244156549917534
ferminet,E_kin,53,4,0.3018635918851942
ferminet,E_kin,58,4,0.3867936539463699
ferminet,E_kin,63,2,0.2361604010220617
ferminet,E_kin,68,2,0.3090778610203415
ferminet,E_kin,74,1,0.2008731837850064
ferminet,E_kin,81,1,0.25490809604525566
ferminet,E_kin,88,1,0.3261055499315262
psiformer,wf_full,16,1024,0.021405794459860773
psiformer,wf_full,17,1024,0.022470361553132534
psiformer,wf_full,19,1024,0.025269038090482355
psiformer,wf_full,21,1024,0.028301084693521262
psiformer,wf_full,23,1024,0.03164559369906783
psiformer,wf_full,24,1024,0.03370005754986778
lapnet,wf_full,124,1024,1.0043368798564187
psiformer,wf_full,25,1024,0.03508905069902539
psiformer,wf_full,27,1024,0.038949215598404405
lapnet,E_kin,16,256,0.7602994989138097
psiformer,wf_full,29,1024,0.0515576014528051
lapnet,E_kin,17,256,0.8442542389966547
psiformer,wf_full,32,1024,0.07233153140405194
lapnet,E_kin,19,256,1.0705105368979275
psiformer,wf_full,34,1024,0.07967618100810796
psiformer,wf_full,38,1024,0.09427637924673035
lapnet,E_kin,21,128,0.6590427269693464
psiformer,wf_full,41,1024,0.10452290769899264
lapnet,E_kin,23,128,0.7937844840344042
lapnet,E_kin,24,128,0.8766477960161865
psiformer,wf_full,45,1024,0.12171304440125823
lapnet,E_kin,25,128,0.9471390228718519
psiformer,wf_full,49,1024,0.14063250365434216
lapnet,E_kin,27,128,1.1195600039791316
lapnet,E_kin,29,64,0.6417594370432198
psiformer,wf_full,53,1024,0.1599026574054733
lapnet,E_kin,32,64,0.8520753548946232
lapnet,E_kin,34,64,0.9698539101518691
psiformer,wf_full,58,1024,0.1908647669595666
lapnet,E_kin,38,32,0.6187527049332857
lapnet,E_kin,41,32,0.7437554190400988
psiformer,wf_full,63,1024,0.21735464825760573
lapnet,E_kin,45,32,0.9172898049000651
lapnet,E_kin,49,16,0.5561404139734805
lapnet,E_kin,53,16,0.6675415909849107
psiformer,wf_full,68,1024,0.28519679519813507
lapnet,E_kin,58,16,0.8366191920358688
lapnet,E_kin,63,8,0.4969486021436751
lapnet,E_kin,68,8,0.6599306620191783
psiformer,wf_full,74,1024,0.333781969093252
lapnet,E_kin,74,4,0.4047026748303324
lapnet,E_kin,81,4,0.5065888410899788
lapnet,E_kin,88,4,0.6268628181423992
lapnet,E_kin,96,2,0.42021641694009304
lapnet,E_kin,99,2,0.4458432088140398
psiformer,wf_full,81,1024,0.38911453714827077
lapnet,E_kin,105,2,0.5241568530909717
lapnet,E_kin,114,1,0.32186569296754897
lapnet,E_kin,124,1,0.39376344392076135
psiformer,wf_full,88,1024,0.4572094929986633
psiformer,wf_full,96,1024,0.6058878149604425
psiformer,wf_full,99,1024,0.6378847974468954
psiformer,wf_full,105,1024,0.7168512130971066
psiformer,wf_full,114,1024,0.8469625516445376
psiformer,wf_full,124,1024,0.9756514344946481
psiformer,E_kin,16,256,1.260679286904633
psiformer,E_kin,17,128,0.7055111010558903
psiformer,E_kin,19,128,0.8922114549204707
psiformer,E_kin,21,128,1.1059861900284886
psiformer,E_kin,23,64,0.6826534019783139
psiformer,E_kin,24,64,0.758139471989125
psiformer,E_kin,25,64,0.8211333700455725
psiformer,E_kin,27,64,0.9734538460616022
psiformer,E_kin,29,64,1.1334386060480028
psiformer,E_kin,32,32,0.8746700868941844
psiformer,E_kin,34,32,0.9977947999723256
psiformer,E_kin,38,32,1.2811144129373133
psiformer,E_kin,41,32,1.5464132782071829
psiformer,E_kin,45,16,1.0176199860870838
psiformer,E_kin,49,16,1.2234594728797674
psiformer,E_kin,53,16,1.4915762431919575
psiformer,E_kin,58,8,0.9940812450367957
psiformer,E_kin,63,4,0.7063767141662538
psiformer,E_kin,68,4,0.9310635300353169
psiformer,E_kin,74,4,1.148908362025395
psiformer,E_kin,81,2,0.8161451600026339
psiformer,E_kin,88,2,1.0185202090069652
psiformer,E_kin,96,2,1.3721687269862741
psiformer,E_kin,99,2,1.4825586520601064
psiformer,E_kin,105,1,1.059350789990276
psiformer,E_kin,114,1,1.3616041459608823
psiformer,E_kin,124,1,1.8008643861394376

