step,E_HC_Ha,E_HS_Ha,E_HFe_Ha,E_HFe2_Ha
518,-333.782,-333.9522,-333.6887,-333.8906
519,-333.7211,-333.8914,-333.6833,-333.6917
520,-333.77,-333.8407,-333.7622,-333.9057
521,-333.6862,-333.8407,-333.7455,-333.9097
522,-333.7389,-333.9118,-333.7964,-333.8991
523,-333.6888,-333.9128,-333.7534,-333.9026
524,-333.8486,-333.9146,-333.8415,-333.7637
525,-333.7004,-333.8932,-333.7312,-333.8879
526,-333.9641,-333.9023,-333.7048,-333.9348
527,-333.7839,-333.9191,-333.6945,-333.8267
528,-333.7593,-333.8926,-333.6653,-333.8741
529,-333.9012,-334.054,-333.5888,-333.9193
530,-333.8877,-334.0756,-333.5725,-333.9258
531,-333.8342,-333.9958,-333.7316,-333.9031
532,-333.8542,-333.9067,-333.7017,-333.8165
533,-333.9063,-334.0752,-333.7782,-333.8627
534,-333.7642,-333.8989,-333.6015,-333.9495
535,-333.8304,-333.929,-333.8127,-334.0871
536,-333.7329,-333.9922,-333.7614,-333.8147
537,-333.8131,-334.0245,-333.8081,-333.8095
538,-333.821,-333.9162,-333.7585,-333.8454
