n_carbon,angle,cutoff,model,jastrow,experiment,steps,E,E_std
4,90,3.0,new_sparse,none,jastrow,11700,-154.62292725110865,0.6734362025009958
4,90,3.0,new_sparse,none,jastrow,11800,-154.6227072674089,0.6901079761354547
4,90,3.0,new_sparse,none,jastrow,11900,-154.62336995248347,0.678135031148007
4,90,3.0,new_sparse,none,jastrow,12000,-154.62297292218133,0.6919175355057967
4,90,3.0,new_sparse,none,jastrow,12100,-154.6229273117594,0.6747470749051947
4,90,3.0,new_sparse,none,jastrow,12200,-154.62329697834994,0.6483998675095407
4,90,3.0,new_sparse,none,jastrow,12300,-154.62375199909206,0.6485999822616577
4,90,3.0,new_sparse,none,jastrow,12400,-154.62418509171292,0.6600953936576843
4,90,3.0,new_sparse,none,jastrow,12500,-154.62420644458155,0.6590070316666051
4,90,3.0,new_sparse,none,jastrow,12600,-154.6242866226226,0.6760222880463851
4,90,3.0,new_sparse,none,jastrow,12700,-154.6249070602004,0.6662345246264809
4,90,3.0,new_sparse,none,jastrow,12800,-154.62509598351323,0.6859371913106818
4,90,3.0,new_sparse,none,jastrow,12900,-154.62538936821252,0.660538607522061
4,90,3.0,new_sparse,none,jastrow,13000,-154.62606377807984,0.6796845166306746
4,90,3.0,new_sparse,none,jastrow,13100,-154.6260700791506,0.715198959174909
4,90,3.0,new_sparse,none,jastrow,13200,-154.6260184431954,0.6507153228709572
4,90,3.0,new_sparse,none,jastrow,13300,-154.62625180587088,0.6810334356207597
4,90,3.0,new_sparse,none,jastrow,13400,-154.62636643195924,0.6561603326546518
4,90,3.0,new_sparse,none,jastrow,13500,-154.62640738487747,0.6518008897179052
4,90,3.0,new_sparse,none,jastrow,13600,-154.6264016412902,0.6672272337110419
4,90,3.0,new_sparse,none,jastrow,13700,-154.6261413378345,0.6577727888759813
4,90,3.0,new_sparse,none,jastrow,13800,-154.62620115637264,0.6555900730584797
4,90,3.0,new_sparse,none,jastrow,13900,-154.62646489742482,0.6461769436535082
4,90,3.0,new_sparse,none,jastrow,14000,-154.62655665734687,0.6669617044298273
4,90,3.0,new_sparse,none,jastrow,14100,-154.62657367512506,0.6532004255997507
4,90,3.0,new_sparse,none,jastrow,14200,-154.6265392621597,0.6465767778848347
4,90,3.0,new_sparse,none,jastrow,14300,-154.62664485045124,0.648540669365933
4,90,3.0,new_sparse,none,jastrow,14400,-154.62652668247054,0.6622364709251806
4,90,3.0,new_sparse,none,jastrow,14500,-154.62659057103312,0.6481762653902957
4,90,3.0,new_sparse,none,jastrow,14600,-154.62635457610725,0.6612234711647034
4,90,3.0,new_sparse,none,jastrow,14700,-154.6263950038433,0.6555614283210353
4,90,3.0,new_sparse,none,jastrow,14800,-154.6267175546784,0.6499352298284832
4,90,3.0,new_sparse,none,jastrow,14900,-154.62680633973827,0.647137767390201
4,90,3.0,new_sparse,none,jastrow,15000,-154.6264174846605,0.6427711656219081
4,90,3.0,new_sparse,none,jastrow,15100,-154.62621514270833,0.6611295530670568
4,90,3.0,new_sparse,none,jastrow,15200,-154.62649705805063,0.6588493616957414
4,90,3.0,new_sparse,none,jastrow,15300,-154.62657004198678,0.6518190691345617
4,90,3.0,new_sparse,none,jastrow,15400,-154.62621982391403,0.6556526108791954
4,90,3.0,new_sparse,none,jastrow,15500,-154.62629005071108,0.6466739052220395
4,90,3.0,new_sparse,none,jastrow,15600,-154.62620500164053,0.6524744786714253
4,90,3.0,new_sparse,none,jastrow,15700,-154.62635296717895,0.6447088969381232
4,90,3.0,new_sparse,none,jastrow,15800,-154.62633411850302,0.6701860333743849
4,90,3.0,new_sparse,none,jastrow,15900,-154.6265812239542,0.7078998998591775
4,90,3.0,new_sparse,none,jastrow,16000,-154.6265276442233,0.6740824831159491
4,90,3.0,new_sparse,none,jastrow,16100,-154.626630916353,0.6657358125636452
4,90,3.0,new_sparse,none,jastrow,16200,-154.62705215341919,0.6424490056539837
4,90,3.0,new_sparse,none,jastrow,16300,-154.6271609547088,0.6529137335325542
4,90,3.0,new_sparse,none,jastrow,16400,-154.62716125980168,0.6510747577014723
4,90,3.0,new_sparse,none,jastrow,16500,-154.6273446868951,0.6697166279742592
4,90,3.0,new_sparse,none,jastrow,16600,-154.62740698694316,0.6463046136655306
4,90,3.0,new_sparse,none,jastrow,16700,-154.627489930351,0.6577473125959697
4,90,3.0,new_sparse,none,jastrow,16800,-154.62778072261344,0.6489486223772952
4,90,3.0,new_sparse,none,jastrow,16900,-154.62783229082598,0.6607458183639928
4,90,3.0,new_sparse,none,jastrow,17000,-154.62771355021758,0.6543684601783752
4,90,3.0,new_sparse,none,jastrow,17100,-154.62772250554093,0.6562766589616474
4,90,3.0,new_sparse,none,jastrow,17200,-154.6278463119875,0.6515329542912935
4,90,3.0,new_sparse,none,jastrow,17300,-154.62808255905173,0.6641683923570734
4,90,3.0,new_sparse,none,jastrow,17400,-154.62781538653232,0.6483326522927535
4,90,3.0,new_sparse,none,jastrow,17500,-154.6279205792021,0.6780444885555067
4,90,3.0,new_sparse,none,jastrow,17600,-154.62801019312298,0.6639413425796911
4,90,3.0,new_sparse,none,jastrow,17700,-154.62800449601315,0.6551961836061979
4,90,3.0,new_sparse,none,jastrow,17800,-154.62809821617137,0.6553367721407037
4,90,3.0,new_sparse,none,jastrow,17900,-154.6278717294257,0.6606512226556477
4,90,3.0,new_sparse,none,jastrow,18000,-154.62801361670344,0.6474716820214924
4,90,3.0,new_sparse,none,jastrow,18100,-154.62818974635908,0.6606102428938213
4,90,3.0,new_sparse,none,jastrow,18200,-154.62829176263793,0.6565298594926533
4,90,3.0,new_sparse,none,jastrow,18300,-154.6278912159277,0.6529110732831453
4,90,3.0,new_sparse,none,jastrow,18400,-154.6277156803143,0.6665815428683632
